Identyfikator zadania;Nazwa zadania;Zasobnik;Cel;Stan;Priorytet;Przypisane do;Utworzona przez;Data utworzenia;Data ukończenia;Data rozpoczęcia;Jest cykliczne;Opóźnienie;Data zakończenia;Ukończone przez;Ukończone elementy listy kontrolnej;Elementy listy kontrolnej;Etykiety;Notatki
3vtt-WCn-0yHyZe458HvXZYAC4uP;AI007 - Pickle and Deploy to an Endpoint in AWS;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;;;AI Engineering Ticket;"As an AI Engineer, I want to select the most promising model that fits the client needed and then pickle the trained model. Then uploading it to a AWS Endpoint
AC:
Model is fully trained on available data and stored as a pickle
Uploaded and accessible on the AWS Endpoint.
Python code is fully documented following appropriate PEP
Tech notes:
If stuck have a look at day 2 of the AI academy content on how to do this"
-mwySm8EAEeGcaM8lHoe4pYABSmv;AI008 - Build Backend to use the Model API Endpoint;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;;;AI Engineering Ticket;"As an AI Engineer, I want a backend system that uses the model API endpoint created and can be set up to use by the front-end UI
AC:
Backend System that is linked to the model API endpoint
Backend System is integrated with the rest of the application
Error handling if an unexpected status code occurs
Fully unit-tested and load-tested"
SAlpSGp0y0y6MJYsrBFd8JYAAwvq;AI009 - Build UI;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;;;AI Engineering Ticket;"As an AI Engineer I want a user interface that takes in a job description text and returns formality score + other features e.g. informal detected sentence/words
AC:
Webpage that is linked to rest of the application
Intakes job description and returns gender bias prediction
User error handling
UI Matches the theme of the rest of the application
Fully tested"
osGESztTaUKADbDhcZCnQJYAKho-;AI010 - Experiment tracking;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;;;AI Engineering Ticket;"As an AI Engineer, I want to be able to easily track my experiments in a centralised place in the cloud so other can contribute, keep track metrics and store models.
AC:
Deploy MLFlow to AWS
Ensure the experiments from the last ticket are being tracked on this server"
7HPxvKwPSUCpE5b_vJRVq5YAB2Ij;DA000 - DA PROBLEM STATEMENT;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;;;"General;Data Analyst";To use the employees dataset provided, alongside the data produced in the Database for the engineering project database. To produce a PowerBI dashboard that will allow a user to slice and filter the data of a table of employees to highlight the number of different roles and salaries within the company.
Dd5AwhV0AkiqvNO9KHLh5pYAACFF;DA001 - Populate Database;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/2;"Meets Acceptance Criteria;Peer Reviewed";Data Analyst;"As as Data Analyst I would like a populated database with tables and data for
Job Roles & specifications
Capabilities
Bands
Competencies
Training
Acceptance Criteria
Database on AWS populated with the above list of tables and data"
dlOrqWRZEUKAZoorg4GZ7ZYANhtu;DA002 - Data imported to PowerBI;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/2;"Meets Acceptance Criteria;Peer Reviewed";Data Analyst;"As a Data Analyst I would like the data imported into PowerBI for
Employee (Provided in Ticket) (Attach dataset to ticket)
Band
Job Roles
Capabilities
Acceptance Criteria
The above list of tables imported into PowerBI
Ensure tables are in 3NF
hint - ( https://dev.mysql.com/downloads/connector/odbc/ )"
7H0615K2vkOkaYd9yH8IvZYAKBOQ;DA003 - Clean Data;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/2;"Meets Acceptance Criteria;Peer Reviewed";Data Analyst;"As a user I would like to have a clean dataset
No duplicate rows
No unused columns
No null or blank columns"
t6rZWxJr9k-fciEi2DPRYJYALQD9;DA004 - Relationships in Data Model;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/2;"Meets Acceptance Criteria;Peer Reviewed";Data Analyst;"As a Data Analyst I would like to see appropriate relationships between the tables imported into PowerBI
Acceptance Criteria
Relationships formed between each table to enable filtering
Ensure dataset is in 3NF"
Srf6XUFGs0yEAhregaiM45YAOaEF;DA005 - Date Table;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/2;"Peer Reviewed;Meets Acceptance Criteria";Data Analyst;"As an end user I would like to filter on the Hire Date with a Date table
Acceptance Criteria
A date table linked to the Hire Date"
L7vBPEV5bUa-SsJpRWtezpYAAasO;DA006 - KPIs/Cards;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/3;"Meets Acceptance Criteria;Peer Reviewed;UX Approved";Data Analyst;"As an end user I would like to see KPIs or Cards for
Total Employees
Latest Hire Date
Highest & Lowest Salary (including difference)
Acceptance Criteria
KPIs or Cards on the sheet covering all 3 KPIs requested"
zDn7Ehxg6EiPNrrNQJZ1oJYAPTgz;DA007 - Employees by Band chart;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/3;"Peer Reviewed;Meets Acceptance Criteria;UX Approved";Data Analyst;"As an end user I want to see the count of employees by band (screenshot attached)
Acceptance Criteria
Bar chart in screenshot attached recreated on a sheet"
HIYwzE8DS06W5Qi_GOpTd5YADff8;DA008 - Employees Hired by Month;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/3;"UX Approved;Meets Acceptance Criteria;Peer Reviewed";Data Analyst;"As an end user I want to see a line chart with employees hired by month (Screenshot attached)
Acceptance Criteria
Line graph in screenshot attached recreated on a sheet"
ZckNqZL2U0a2s-K6hTsvA5YAGXnt;DA009 - Employees by Country;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/3;"UX Approved;Peer Reviewed;Meets Acceptance Criteria";Data Analyst;"As an end user I want to see the count of employees by country (screenshot attached)
Acceptance Criteria
Map in screenshot attached recreated on a sheet"
v3s9vTpbVEOrw7bKlIsZF5YALlh6;DA010 - Staff near retirement age;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/3;"Peer Reviewed;Meets Acceptance Criteria;UX Approved";Data Analyst;"As an end user I want to see the number of staff who are near retirement age (65-70)
Acceptance Criteria
A bar chart highlighting the number of staff near retirement age"
HsR8oZvzpUSRPIPRGEg93ZYAN1WY;DA011 - Salary breakdown;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/3;"Meets Acceptance Criteria;UX Approved;Peer Reviewed";Data Analyst;"As an end user I want to see a breakdown of salaries
Acceptance Criteria
A chart, table or graph breaking down salaries"
kKRKC15fqkyMf4SC-8WuQZYAJjyX;DA012 - Date Filters;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/3;"Meets Acceptance Criteria;Peer Reviewed;UX Approxed";Data Analyst;"As an end user I want to be able to slice and filter the report by hire date
Acceptance Criteria
A filter on the page of the report to enable date slicing"
yuRWMdGxwUCA1snnsD1625YABFuY;DA013 - Slicing and Filtering;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/3;"Peer Reviewed;UX Approved;Meets Acceptance Criteria";Data Analyst;"As an end user I want to be able to filter all pages by capability and band level.
Acceptance Criteria
The ability to filter by capability from the reports pages
The ability to filter by band from the reports pages"
Iflmpgw0k06B184XqQDTEpYAELSF;DA014 - Employee Demographics Sheet;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/3;"UX approved;Peer Reviewed;Meets Acceptance Criteria";Data Analyst;"As an end user I want a sheet with the breakdown of the employee demographics
Acceptance Criteria
A sheet within the PowerBI report with a range of tables, charts and graphs covering the employee demographics"
QpYikjrdXke4cvXd9ITeW5YALrgg;DA015 - Locations Sheet;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/3;"Peer Reviewed;UX Approved;Meets Acceptance Criteria";Data Analyst;"As an end user I want a sheet with the breakdown of the employee locations
Acceptance Criteria
A sheet within the PowerBI report with a range of tables, charts and graphs covering the employee locations"
nf5T-aW6qkm96509JNcnQJYAI_yz;DA016 - Capability / Job Role Sheet;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/3;"Meets Acceptance Criteria;UX Approved;Peer Reviewed";Data Analyst;"As an end user I want a sheet with the breakdown of the capabilities and job roles.
Acceptance Criteria
A sheet within the PowerBI report with a range of tables, charts and graphs covering the capabilities and job roles."
v1qBR-W7vUC8YtOMtYvi0ZYAMggN;DA017 - Overview Sheet;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/3;"Peer Reviewed;Meets Acceptance Criteria;UX Approved";Data Analyst;"As an end user I want to see an overview sheet with an overall overview of the data with KPIs/Cards and high-level graphs.
Acceptance Criteria
A sheet within the PowerBI report with a range of tables, charts and graphs with a high level overview of the data."
Y6_DOqpJpE6Hf9KijQKSLpYALEXV;DA018 - Navigation;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/3;"Peer Reviewed;Meets Acceptance Criteria;UX Approved";Data Analyst;"As an end user I want to navigate the report with buttons (tabs) within the report.
Acceptance Criteria
Buttons on each page to allow for easy and functional navigation of the report"
qVf0Ivlpi0KAr8_6FX8ncZYAHvuJ;DA019 - Branding;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/3;"Meets Acceptance Criteria;Peer Reviewed;UX Approved";Data Analyst;"As an end user I would like my report branded in the Kainos branding
Acceptance Criteria
Kainos colour scheme used throughout
Kainos Logo on every sheet
Kainos (or nearest available) font used throughout
hint - look on SharePoint for info"
ACDQ10xQC0mHPwGOJGvktpYAOOCw;DA020 - Presentation;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/2;"Peer Reviewed;Meets Acceptance Criteria";Data Analyst;"As an end user I want to see a presentation prepared of the dashboard with consideration of the data within
As a Data Analyst I want to see another presentation prepared with considerations to the technical details
Acceptance Criteria
official Kainos assets used
peer reviewed"
D7QdSQWnnkiD25AElhnXI5YAKUN9;DA021 - Employee Data in Database;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/2;"Peer Reviewed;Meets Acceptance Criteria";Data Analyst;"As a Data Analyst I want the Employees table in the database instead of within an excel spreadsheet
Acceptance Criteria
Employees table spreadsheet uploaded to database
Employees table from database in PowerBI report to replace spreadsheet"
ygqf5dqVPUaMq6OVrbrF8pYAAIcD;DA022 - Dashboard Sharing;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/2;"Meets Acceptance Criteria;Peer Reviewed";Data Analyst;"As an end user I want the dashboard published to a workspace on PowerBI Service and shared with end users (John Walker & Scott Boyd)
Acceptance Criteria
Report published to PowerBI workspace (Name of workspace to be added)
Report to be shared with users (John Walker & Scott Boyd)"
ovTaS5qH8UO9CyjqFtlIoZYAG3Zs;DA023 - Dashboard Security;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/2;"Meets Acceptance Criteria;Peer Reviewed";Data Analyst;"As a Principal employee end user I only want to see the data of employees for the location that I am currently in
Acceptance Criteria
Row level security implemented
Restriction applied to enable Principal level employees to only see the data for the location they are currently based
Tested with principal employee users within PowerBI desktop to ensure working"
w00CPs4_cUWxC4EPig4nTpYAFTCw;DA024 - Data Model & Sources;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/2;"Peer Reviewed;Meets Acceptance Criteria";Data Analyst;"As a Data Analyst I want to see documentation completed containing a detailed Data Model Diagram and the source location and format of the data used within the report to enable me to recreate.
As a Data Analyst I want to see a data dictionary detailing the field name data type, any expected values and location of joining fields.
Acceptance Criteria
Data Model Diagram
Table containing source location and format
Data dictionary
Follow Kainos branding and templating"
2UznekzeIU61Z8svrBST1JYAPKSf;S001: Software Composition Analysis;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;;;Security;"As a security operator I need to know which 3rd party libraries have known vulnerabilities so I can make a risk based decision on when these need to be updated and can track the health of the project long term.
Verified critical vulnerabilities need to be fixed immediately
High vulnerabilities need to be fixed in the next sprint
Medium/Low vulnerabilities need to be fixed within 30 days
Acceptance Criteria
Known vulnerabilities in 3rd party libraries must be identified frequently (at least once per day)
Both the Security operations team and Engineering team must be notified immediately (e.g. Teams/Slack/Email) of critical & high vulnerabilities in 3rd party libs (low/medium vulnerabilities are not immediately notified) - leave this til the end
A report can be automatically generated at any time showing the current known vulnerabilities and their age - tool generates an output which is configurable
(GitHub Dependancy Check, Blackdock?, Maven Plugin)"
wjnZj64zpk-NKc_PrDzwEZYAIHVi;S002: Static Application Security Testing (SAST);oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;;;Security;"As a security engineer I need to automate Application Security Testing tools so I can more efficiently review custom code for vulnerabilities.
Acceptance criteria:
Implement SAST (e.g. SonarQube, Find-Security-Bugs)
Validate findings and eliminate false positives
Work with developer to fix issues
Order of working:
Set up SonarQube to run locally within a Docker container, with an attached volume so that restarting the container does not lose any configuration or results https://hub.docker.com/_/sonarqube
Configure SonarScanner to run as a regular task using the dockerised version of SonarScanner https://docs.sonarqube.org/latest/analysis/scan/sonarscanner/, to scan each project component (i.e. Web front end, API etc) and to report results to the SonarQube server running locally (most likely localhost:9000)
Automate the process of starting the SonarQube container, pulling down the most recent versions of your code repositories, starting the SonarScanner docker jobs, and viewing the results in the SonarQube dashboard
Share any new findings each day with the development team so that bugs and vulnerabilities are fixed when appropriate"
P26OvdkOGE6hf3TckLSQuJYAMet4;S003: Interactive Application Security Testing (IAST);oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;;;Security;"As a security engineer I need to automate Application Security Testing tools so I can more efficiently review custom code for vulnerabilities.
Acceptance criteria:
Implement IAST (e.g. Contrast Assess Community)
Validate findings and eliminate false positives
Work with developer to fix issues"
DaV5SdUR3EGdb0PdCvLLyZYAGTNG;S004: Web Application Secure Config/Headers;oxDLoSncJkqsruLs9qjEnZYAKbPq;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;;;Security;"As a security engineer I want to ensure that web application has implemented secure headers and followed secure cookie configuration
so that the service is resilient against certain attacks
Acceptance criteria:
Create tickets for developers to implement recommended headers (content security policy, protections against XSS attacks and headers for ensuring HTTPS is used)
Refine the stories for developers
Work with developers to test the implemented solution
Validate the headers are set correctly (e.g. https://securityheaders.com/)"
Vw6W5aAr4kCdfnjQHtd-QpYAAuBk;US008 - View all bands;MCPhoyHQiEyhs32l2acP-5YABvHo;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/5;"Tested;Meets Acceptance Criteria;UX approved;Peer Review;Product Owner Approved";Applicant;"As an applicant
I want to view band information
So that I know the band information
Acceptance criteria
List page with band information (name, level)
Link to band list page from home page"
md0Dz7xajkKTRjHYGcJsDJYAM8nk;US013 - Add a new capability;MCPhoyHQiEyhs32l2acP-5YABvHo;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/5;"UX Approved;Meets Acceptance Criteria;Product Owner Approved;Peer Review;Tested";Admin;"As an Admin
I want to be able to create a new capability
So that I can assign roles to correct capabilities to date
Acceptance criteria
Able to define:
New capability name
Capability lead
Image of capability lead should be stored in AWS S3 (ask mentor to set up S3 bucket) 
Can create a new capability from capability list page"
atXFfxP1lUWzArEikBGBS5YAOylz;US014 - Create a new band;MCPhoyHQiEyhs32l2acP-5YABvHo;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/5;"Meets Acceptance Criteria;Peer Review;Tested;Product Owner Approved;UX approved";Admin;"As an Admin
I want to add a role to a new band
So that I can assign roles to new bands
Acceptance criteria
Able to define:
Band name
Level of band (dropdown list)
Training available for band (checkboxes)
Competencies information for band
Can create band from the band list screen"
cwge1xB-QUCLj7chMWPd1ZYAG0dy;US016 - Edit Capability;MCPhoyHQiEyhs32l2acP-5YABvHo;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/5;"Product Owner Approved;UX approved;Peer Review;Meets Acceptance Criteria;Tested";Admin;"As an Admin
I want to edit a capability
So that I can keep the system up to date
Acceptance Criteria
Able to update:
Capability name
Capability lead
Capability lead image
Can edit from capability list page and capability details page"
1Dttjs83J0mrihB-bqJz9ZYANhmL;US017 - Edit a band;MCPhoyHQiEyhs32l2acP-5YABvHo;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/5;"UX approved;Tested;Meets Acceptance Criteria;Peer Review;Product Owner Approved";Admin;"As an Admin
I want to edit a band
So that I can keep the Career Lattice information up to date
Acceptance Criteria
Able to update:
Band name
Level of band (dropdown list)
Training available for band (checkboxes)
Competencies information for band
Can update from band list screen and band details page
Form should be pre-populated"
ISx7PE9Q4Uey9kwJVj6_mJYAKZg3;US021 - Delete a band;MCPhoyHQiEyhs32l2acP-5YABvHo;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/5;"UX Approved;Tested;Meets Acceptance Criteria;Product Owner Approved;Peer Review";Admin;"As an Admin
I want to delete a band
So that I can keep the software information up to date
Acceptance Criteria
able to delete band from band list page and details page
warning to appear with confirmation"
HnJzmzOTl0mvifmQebfpMpYAGk7P;US022 - Delete capability;MCPhoyHQiEyhs32l2acP-5YABvHo;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;0/5;"UX approved;Tested;Meets Acceptance Criteria;Product Owner Approved;Peer Review";Admin;"As an Admin
I want to delete a capability
So that I can keep the system up to date
Acceptance Criteria
Can delete capability from capability list page
Warning to appear asking to confirm"
nNooaXRiKESY8eLUHpE9fpYALhbt;US028 - Role Filtering;L0EO1c-x2kCR2Q-yVlZOB5YAOOQK;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;;;Applicant;"As an applicant I want to be able to filter the roles page by each of the columns displayed in the roles table
Acceptance Criteria:
text box for any columns that use free text fields
check boxes for any columns that have a limited amount of values
filtering should be done on API to allow API users to also filter"
D3HeNM3jy0mMGBNy6kohrZYALsg8;US029 - Role Ordering;L0EO1c-x2kCR2Q-yVlZOB5YAOOQK;;Nierozpoczęte;Średni;;c6f4deb8-5229-41f9-85b4-fed37c67899e;2026-08-04;;;;false;;;;;Applicant;"As an applicant I want to be able to order the roles page by any columns displayed in the roles table
Acceptance Criteria:
column headings should be clickable
first click should sort by column ascending alphabetically
second click should sort by column descending alphabetically
third click should revert to no ordering
ordering should be done on API side to allow API users to also order"
